name,axis,magnitude,spec,cmd
s01_baseline,baseline,0,,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s01_baseline
s00_baseline_specform,identity,0,specs/s00_baseline_specform.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s00_baseline_specform --spot-spec specs/s00_baseline_specform.json
s_energy_05pct,energy_imbalance,+/-5%,specs/s_energy_05pct.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_energy_05pct --spot-spec specs/s_energy_05pct.json
s_energy_10pct,energy_imbalance,+/-10%,specs/s_energy_10pct.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_energy_10pct --spot-spec specs/s_energy_10pct.json
s_energy_20pct,energy_imbalance,+/-20%,specs/s_energy_20pct.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_energy_20pct --spot-spec specs/s_energy_20pct.json
s_jitter_050um,position_jitter,50 um,specs/s_jitter_050um.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_jitter_050um --spot-spec specs/s_jitter_050um.json
s_jitter_150um,position_jitter,150 um,specs/s_jitter_150um.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_jitter_150um --spot-spec specs/s_jitter_150um.json
s_jitter_300um,position_jitter,300 um,specs/s_jitter_300um.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_jitter_300um --spot-spec specs/s_jitter_300um.json
s_drop1_4plus3,missing_spot,7 (4+3),specs/s_drop1_4plus3.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_drop1_4plus3 --spot-spec specs/s_drop1_4plus3.json
s_drop2_adjacent,missing_spot,6 (adjacent gap),specs/s_drop2_adjacent.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_drop2_adjacent --spot-spec specs/s_drop2_adjacent.json
s_drop2_opposite,missing_spot,6 (opposite gaps),specs/s_drop2_opposite.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_drop2_opposite --spot-spec specs/s_drop2_opposite.json
s_combined_realistic,combined,5% + 50um,specs/s_combined_realistic.json,python pb11_ring_reconnection_v15_pulsed.py --b-seed 85 --base-fuel p11b --base-density 5e24 --nx 256 --nz 256 --max-steps 1500 --ring-radius-um 2400 --spot-radius-um 300 --n-spots 8 --field-mode applied --seed-topology harris --rotate-mode perturbative --dump-period 20 --outdir runs/sensitivity/s_combined_realistic --spot-spec specs/s_combined_realistic.json
